,OH,HSO3,HO2,SO3,H2SO4,H2O
0,5.065975100670567,0.03769725454787642,85501940.68408523,0.4774192424895804,50674581.44310612,3.4613309261870104e+16
1,2.486253905107642,0.018500835092665743,41835404.49865358,1.3988066138838107,24720192.934318744,1.6926965252717016e+16
2,3.723030104454297,0.027704020061329906,62737062.82730383,0.7092486219669519,37149570.46619895,2.5390447879075532e+16
3,5.010019787184582,0.03728087480117045,84551976.57363303,0.483853859041297,50110284.22149781,3.4228342300015924e+16
4,5.904821557259245,0.043939358892566074,99758265.29154088,0.39870222344288875,59142789.7115137,4.039166988669912e+16
5,6.321238613718798,0.047038044122678244,106845854.8164455,0.36882203825996807,63352727.03952719,4.326515562597968e+16
6,7.123135265794106,0.053005204960538066,120514196.63325056,0.3225576118402506,71471756.8970656,4.880805032817734e+16
7,7.952251573298748,0.059174923130359484,134673911.36180577,0.28569080578532907,79883251.71436545,5.4552166375286776e+16
8,6.262946989310706,0.04660427840487476,105853286.44547518,0.3727236680005775,62763152.09657074,4.286271361469574e+16
9,2.486253905107642,0.018500835092665743,41835404.49865358,1.3988066138838107,24720192.934318744,1.6926965252717016e+16
