,OH,HSO3,HO2,SO3,H2SO4,H2O
0,13904.953802193404,21.12807513539569,14495533.693166018,1924.295438660076,8006799.789373852,1.748469639787932e+16
1,28766.5966177364,43.780295031051274,30286284.175602574,824.207433154613,16767263.433265937,3.654122591879065e+16
2,42371.35223764489,64.46070879671016,45010055.03119853,541.661644941246,24932011.21402518,5.431908992978345e+16
3,56405.27356991688,85.68130182502391,59527083.68309538,409.1698685045322,32978848.26515637,7.185943261772853e+16
4,68522.421792341,104.3012571076009,73728216.78469792,324.1995443135576,40856870.266932204,8.902034002034085e+16
5,78242.11092797258,119.30608985135494,85860993.8323465,273.5004156168207,47590372.623698086,1.0368607754088592e+17
6,91156.38410935392,137.68496397585207,96007438.72253521,252.50966667358557,53203354.6105798,1.1597676867318973e+17
7,92548.29038035734,140.66410432248105,102728781.65485717,226.06464793286852,56949505.842157654,1.2408959940434586e+17
8,94909.07828709939,143.7661104795205,106575159.97020182,215.80302345479768,59087413.19236436,1.2873994079467006e+17
9,96673.97760357289,146.35404987895595,110796161.84391828,204.11310193841985,61436966.88106856,1.338401298701319e+17
10,71612.02204669047,108.7209093560369,84237115.42955123,263.64131719991354,46710467.07750616,1.0169898140399264e+17
11,34911.82115719868,52.66469976190027,40218072.97143667,569.9443455908722,22286785.98310294,4.851910697563856e+16
12,16471.070399417797,24.883838078861377,19130448.401676048,1262.8625901314117,10586224.05774589,2.306947570407451e+16
