,OH,HSO3,HO2,SO3,H2SO4,H2O
0,16.238990023783018,0.12083885368238305,95329214.10063334,1.7632995660591142,56638275.38901511,3.4422565925673588e+16
1,9.009098966183549,0.06703910998798121,52755436.868803196,4.241569914408738,31274717.38812742,1.9041084770637564e+16
2,13.489132373935764,0.1003763344103487,79111415.54206026,2.2371686262894768,46980143.18974684,2.856162715595634e+16
3,16.062457983777332,0.11952522482725128,94287156.39726019,1.7872400911596973,56017759.89029774,3.404591784517723e+16
4,18.934536461517613,0.1408972513925221,111256702.62762307,1.4667167749054235,66122162.06896872,4.018051909778551e+16
5,20.260485389718458,0.15076405785913385,119102428.85693371,1.3558958433652655,70793685.6361695,4.301753403347033e+16
6,22.814024004341057,0.1697657651148149,134232274.63654393,1.1847996427861547,79802440.35776271,4.84897977291232e+16
7,25.420262623189444,0.18915965278715685,149702147.00777963,1.0503975937600634,89014117.39776298,5.408683015113906e+16
8,19.951719226098433,0.14846643039129787,117274793.84226538,1.3801206406835091,69705471.26453389,4.235661966567644e+16
9,9.009098966183549,0.06703910998798121,52755436.868803196,4.241569914408738,31274717.38812742,1.9041084770637564e+16
