,0,1
OH,0.0011342071223351224,0.001433191245839022
HSO3,8.429648725442854e-06,1.0651782656535101e-05
HO2,231846997.31984723,296980211.800536
SO3,2.109195974057775e-05,1.6032880924346238e-05
H2SO4,141961533.27377772,182251100.74639368
