,OH,HSO3,HO2,SO3,H2SO4
0,39943.08438032496,61.524666248410036,18214520.477649685,9141.022969741496,9672493.398795102
1,81633.28138457719,125.94321404893728,37666945.90772904,3713.1676882543966,20047935.225006554
2,123389.84252913209,190.29156000278184,57079968.702246875,2381.1078709253707,30395334.948848557
3,166823.1690696451,256.8858152000174,76465788.27896309,1773.0324707653504,40724138.65920779
4,206283.2168532251,318.27293409825097,95868838.99955224,1392.310059019457,51071388.63706071
5,245864.07776771457,380.04472173236945,115256513.59990841,1146.8186131824282,61411765.01942516
6,301160.4925561292,461.12116264594965,134586130.70407495,1016.8491438438105,71690506.15721175
7,334959.0124931619,516.0887405540968,153939670.5590851,868.3881423643588,82028512.90192354
8,381469.5468200127,585.7693478788456,173261857.43305284,777.3917887712521,92326029.13351424
9,423933.08771659154,650.5948897818403,192562314.46695122,698.444988806007,102622845.52579106
10,336077.90733929153,517.2318023861287,153933173.44997907,870.6979759389131,82022710.11560333
11,172079.20330669184,263.14388071214853,76456113.38074479,1816.426411446963,40708212.51597204
12,85025.29286471536,130.21509578791367,37655153.992867075,3832.833600928718,20034622.71543237
