,0,1
OH,0.002356924511839953,0.001143570138392674
HSO3,1.751730124705172e-05,8.499230496983524e-06
HO2,541399946.2298408,247278115.68978602
SO3,7.546323144233225e-06,1.8358400063027366e-05
H2SO4,336210612.90843356,151613679.2992611
