,0,1
OH,0.0017398533689599175,0.002131566584710889
HSO3,1.293098776118588e-05,1.58423465110092e-05
HO2,387435333.39646935,484078944.65938264
SO3,1.111565563554429e-05,8.606227198632441e-06
H2SO4,238827145.4233756,299731947.2542628
