,OH,HSO3,HO2,SO3,H2SO4,SO2
0,5.739631522724691e-07,4.269730098243728e-09,120577.27378523529,64842.4054220191,141.61411871498854,27174609326701.227
1,4.4852905183979585e-07,3.336621842590632e-09,94225.69451011487,50709.76447343147,67.6057491469297,27174609326701.227
2,1.8364136711267584e-05,1.366114144426078e-07,3861288.916067999,1035251.7527253553,1228210.1968237474,27174609326701.227
3,5.8846101655937776e-05,4.37758215424212e-07,12397882.015959594,13922.01171023904,8182741.083119482,27174609326701.227
4,0.00027668794095165087,2.058294838315714e-06,58932314.75515008,0.00010934506585849012,39577537.94796063,27174609326701.227
5,0.0005023415163653952,3.7369493891272367e-06,108238294.28933674,4.625842201858534e-05,72793195.24925384,27174609326701.227
6,0.0006206108680676878,4.616766842995744e-06,134549049.08082324,3.581336420518038e-05,90540254.98602748,27174609326701.227
7,0.0007030830944896131,5.2302869759826865e-06,153093581.78609806,3.091638695033891e-05,103059171.97805002,27174609326701.227
8,0.000985874276774267,7.3340089916791405e-06,217963432.18273264,2.08607427056097e-05,146920141.84721327,27174609326701.227
9,0.0014281299332101123,1.0624030764438863e-05,323681051.2756917,1.3465490508817004e-05,218634513.51791626,27174609326701.227
10,0.0011245790241766673,8.36585636428412e-06,250538467.3144498,1.7886546954367564e-05,168986475.15437382,27174609326701.227
