,OH,HSO3,HO2,SO3,H2SO4
0,0.006820172178685498,2.5277156218824086e-05,10392208.565672942,103275.71271141613,6546620.210945882
1,0.014887413910365858,5.517625525676559e-05,20495327.14165626,97.05675887776226,13372701.538100457
2,0.03527695357404961,0.0001307447310898465,39870626.30551131,0.03854458805907558,26060598.108239643
3,0.06226345998802928,0.00023076318696757053,58195184.72368543,0.01888313712398399,37974856.27438602
4,0.09704817659143955,0.0003596837386415565,75533217.41864546,0.014657188376694948,49183881.35322823
5,0.14093627821615562,0.0005223436999532774,91944303.437094,0.012939777246950753,59736854.25576583
6,0.089874675630771,0.00033309755805555817,157142962.30094156,0.0034950649292367466,103653412.19936988
7,0.11824920500353386,0.0004382609555904401,209103326.19882208,0.0025449239347335693,138050934.12663668
8,0.14586419492313357,0.0005406095185530554,260855883.5883563,0.0019942443544708408,172368307.73206246
9,0.17273827863127036,0.0006402122967983143,312402114.47406703,0.0016334809306324883,206606494.4756105
10,0.02432850418143468,9.016717216232901e-05,30318525.454643562,0.2132646338097336,19819875.530216526
