,OH,HSO3,HO2,SO3,H2SO4,H2O
0,38456.34726783316,56.89359967810933,94334603.80063613,4779.714124305545,53116824.6839474,1.9391881338467376e+16
1,77404.48297251375,114.51497870357073,190386039.67493528,2148.9178540561797,107404986.87806053,3.920280455935444e+16
2,115990.93623343011,171.60148293363065,286631508.3198608,1393.5936728394677,161819357.27876464,5.912066194460299e+16
3,154489.25826379607,228.5578157993003,383576755.7838355,1027.0837773805376,216670030.87529474,7.925143122297941e+16
4,192891.28987041564,285.37190795558763,481220315.86915207,809.7230172499758,271962580.13731456,9.959657783989066e+16
5,134767.3625613789,199.38023575054697,334125605.02898943,1185.798341244543,188686419.0660772,6.897410560203684e+16
6,96359.54890610556,142.55791445373058,237785412.9477627,1695.030752047585,134199515.92773111,4.900350569919304e+16
