,OH,HOI,HO2,I,I2
0,25084330.63637561,4018291.8525204407,32641788.681860242,3942046.803745669,4211917791.2541246
1,38148297.579443686,4872520.424578939,48405493.90618682,4780133.8699728865,3398176914.805544
2,51025438.49583752,5579279.966102108,63814368.59049301,5473533.622964512,2928600391.533701
3,63930291.36387977,5907302.843056149,78879966.99091077,5795379.148362516,2490286678.751399
4,76798486.48356204,5940916.959213455,93613519.86045769,5828391.522905028,2096422204.3003912
5,89329184.46263744,6032350.571981446,108026177.95869756,5918114.300355829,1836630956.702602
6,101842068.80958642,5829503.369937852,122127834.98063421,5719130.307141397,1562698686.0487444
7,52378562.396833494,4045510.236997463,63813184.61066399,3968895.718527761,2094351924.4061852
