,OH,HSO3,HO2,SO3,H2SO4
0,6.408657756024518e-06,4.767427093992506e-08,590989.8809288056,305004.95608240797,14146.638940693094
1,6.291103061488693e-06,4.6799776671313153e-08,580147.9667398825,299851.09630691423,13392.187566893674
2,0.3894063443861452,0.0014431874898596414,811473.4483713789,401568.1676041675,35383.11260812425
3,5.46086929485166,0.0202386555533836,10429806.640880996,134621.4858533923,6534698.819898351
4,12.765709154501437,0.04731131319468637,22398358.431590315,116.14650132439888,14626849.979572766
5,35.91588555633708,0.13310890307319584,53544914.931709364,6.7710062310533665,35025209.25397537
6,60.71349323741515,0.22501221960539003,77282444.63505287,4.689617071133697,50453296.774519384
7,78.4256431091213,0.29065586730319143,85472804.22898494,4.610241463017725,55660952.21834788
8,114.05539631006738,0.42270479363028063,107385793.31118435,3.9245279451719055,69778584.83092304
9,76.9583034953717,0.28521851414334565,166754869.2697445,1.399605120043097,110001981.49206406
10,106.24458564370119,0.393758592774909,233882993.40851128,0.9665773344987025,154461292.6612172
11,21.27511797525517,0.07884827816016768,34351895.95682648,14.221701505022414,22468282.933335688
