,OH,HSO3,HO2,SO3,H2SO4,H2O
0,5.065975100628248,0.03769725454756331,85501952.54286501,0.47741924248588047,53228106.977473654,3.4613309261870104e+16
1,2.486253905097491,0.018500835092590637,41835410.30425672,1.3988066138798498,25940702.58938208,1.6926965252717016e+16
2,3.7230301044314835,0.02770402006116111,62737071.53118582,0.7092486219631792,39011242.20979944,2.5390447879075532e+16
3,5.010019787143196,0.03728087480086422,84551988.30079716,0.48385385903759504,52635005.635925695,3.4228342300015924e+16
4,5.904821557201689,0.04393935889214022,99758279.12512694,0.39870222343921335,62128159.08920695,4.039166988669912e+16
5,6.321238613652801,0.04703804412218992,106845869.63154979,0.36882203825630194,66552559.54342804,4.326515562597968e+16
6,7.123135265710235,0.0530052049599175,120514213.34070536,0.3225576118365999,75084888.8145984,4.880805032817734e+16
7,7.952251573194119,0.05917492312958532,134673930.0289512,0.28569080578169087,83924262.07427648,5.4552166375286776e+16
8,6.2629469892459255,0.04660427840439545,105853301.12313516,0.3727236679969102,65932957.71995205,4.286271361469574e+16
9,2.486253905097491,0.018500835092590637,41835410.30425672,1.3988066138798498,25940702.58938208,1.6926965252717016e+16
