,R,SA
607,0.607,11135600.67752345
608,0.608,11068615.111602267
609,0.609,11001684.24088726
610,0.61,10934808.408319857
611,0.611,10867987.956841484
612,0.612,10801223.229393572
613,0.613,10734514.56360603
614,0.614,10667862.26339413
615,0.615,10601266.619487049
616,0.616,10534727.922583451
617,0.617,10468246.463382
618,0.618,10401822.532581357
619,0.619,10335456.420880187
620,0.62,10269148.418977147
621,0.621,10202898.817570912
622,0.622,10136707.907360133
623,0.623,10070575.979043482
624,0.624,10004503.323319616
625,0.625,9938490.230887197
626,0.626,9872536.992444893
627,0.627,9806643.898691365
628,0.628,9740811.240325276
629,0.629,9675039.30804529
630,0.63,9609328.392550068
631,0.631,9543678.784538275
632,0.632,9478090.774699312
633,0.633,9412564.6418501
634,0.634,9347100.629660498
635,0.635,9281698.975327281
636,0.636,9216359.916047217
637,0.637,9151083.689017078
638,0.638,9085870.531433634
639,0.639,9020720.68049366
640,0.64,8955634.37339392
641,0.641,8890611.847331192
642,0.642,8825653.339502241
643,0.643,8760759.087103846
644,0.644,8695929.327332769
645,0.645,8631164.297385786
646,0.646,8566464.234459665
647,0.647,8501829.37575118
648,0.648,8437259.958457103
649,0.649,8372756.2197742
650,0.65,8308318.396899247
651,0.651,8243946.727029009
652,0.652,8179641.446956836
653,0.653,8115402.7725761505
654,0.654,8051230.889155648
655,0.655,7987125.97952618
656,0.656,7923088.226518597
657,0.657,7859117.812963757
658,0.658,7795214.921692508
659,0.659,7731379.735535709
660,0.66,7667612.437324209
661,0.661,7603913.2098888615
662,0.662,7540282.236060521
663,0.663,7476719.698670039
664,0.664,7413225.78054827
665,0.665,7349800.664526067
666,0.666,7286444.53343428
667,0.667,7223157.570103767
668,0.668,7159939.957365381
669,0.669,7096791.878049971
670,0.67,7033713.514988391
671,0.671,6970705.051011497
672,0.672,6907766.6668930715
673,0.673,6844898.513534181
674,0.674,6782100.719295099
675,0.675,6719373.411981984
676,0.676,6656716.719400987
677,0.677,6594130.769358259
678,0.678,6531615.689659954
679,0.679,6469171.608112221
680,0.68,6406798.652521213
681,0.681,6344496.950693084
682,0.682,6282266.630433984
683,0.683,6220107.819550068
684,0.684,6158020.6458474845
685,0.685,6096005.237132387
686,0.686,6034061.7212109305
687,0.687,5972190.225889264
688,0.6880000000000001,5910390.878973539
689,0.6890000000000001,5848663.808269908
690,0.6900000000000001,5787009.141584526
691,0.6910000000000001,5725427.006723541
692,0.6920000000000001,5663917.525652707
693,0.6930000000000001,5602480.784697195
694,0.6940000000000001,5541116.856740304
695,0.6950000000000001,5479825.814640597
696,0.6960000000000001,5418607.731256644
697,0.6970000000000001,5357462.679447015
698,0.6980000000000001,5296390.732070272
699,0.6990000000000001,5235391.961984991
700,0.7000000000000001,5174466.442049736
701,0.7010000000000001,5113614.245123078
702,0.7020000000000001,5052835.444063582
703,0.7030000000000001,4992130.111729818
704,0.704,4931498.320980362
705,0.705,4870940.144673767
706,0.706,4810455.655668612
707,0.707,4750044.92682346
708,0.708,4689708.030996882
709,0.709,4629445.0410474455
710,0.71,4569256.02983372
711,0.711,4509141.070200393
712,0.712,4449100.222073131
713,0.713,4389133.508519087
714,0.714,4329240.9460750315
715,0.715,4269422.551277741
716,0.716,4209678.340663987
717,0.717,4150008.33077055
718,0.718,4090412.538134199
719,0.719,4030890.979291714
720,0.72,3971443.6707798666
721,0.721,3912070.6291354327
722,0.722,3852771.870895187
723,0.723,3793547.412595904
724,0.724,3734397.270774358
725,0.725,3675321.461967325
726,0.726,3616320.0027115783
727,0.727,3557392.909543895
728,0.728,3498540.1990010473
729,0.729,3439761.887619811
730,0.73,3381057.9919369617
731,0.731,3322428.528067013
732,0.732,3263873.492003415
733,0.733,3205392.8512295596
734,0.734,3146986.5710646464
735,0.735,3088654.6168278684
736,0.736,3030396.9538384257
737,0.737,2972213.547415513
738,0.738,2914104.3628783305
739,0.739,2856069.365546071
740,0.74,2798108.520737933
741,0.741,2740221.793773114
742,0.742,2682409.1499708113
743,0.743,2624670.55465022
744,0.744,2567005.9731305386
745,0.745,2509415.370730963
746,0.746,2451898.7127706907
747,0.747,2394455.9645689186
748,0.748,2337087.0914448425
749,0.749,2279792.0587176606
750,0.75,2222570.83170657
751,0.751,2165423.3729673014
752,0.752,2108349.6068493132
753,0.753,2051349.429819864
754,0.754,1994422.7377120082
755,0.755,1937569.4263588004
756,0.756,1880789.3915932945
757,0.757,1824082.5292485447
758,0.758,1767448.7351576057
759,0.759,1710887.9051535325
760,0.76,1654399.9350693785
761,0.761,1597984.7207381981
762,0.762,1541642.157993046
763,0.763,1485372.1426669767
764,0.764,1429174.5705930446
765,0.765,1373049.3376043036
766,0.766,1316996.3395338082
767,0.767,1261015.4722146126
768,0.768,1205106.6314797716
769,0.769,1149269.7131623393
770,0.77,1093504.6130953701
771,0.771,1037811.2271119183
772,0.772,982189.4510450386
773,0.773,926639.1807277846
774,0.774,871160.3119932113
775,0.775,815752.740674373
776,0.776,760416.3626043238
777,0.777,705151.0736161182
778,0.778,649956.7695428105
779,0.779,594833.3462174553
