,0,1,2,3,4,5,6,7,8
OH,41436.854672331596,82821.62600906193,165435.18786838095,330040.2716902492,412032.86920879246,493819.55367725703,616114.66807971,371062.34315711004,247841.22378747782
HSO3,308.07296921902145,615.7592714482806,1229.973871124903,2453.7850173568095,3063.389539687577,3671.46534170637,4580.721404939598,2758.778617547074,1842.647790105836
HO2,24515869.325013544,49024508.0234239,98019946.26532537,195922437.5923483,244828904.49087685,293705129.24647456,366962125.2332572,220379433.07273856,146986020.60129178
SO3,6663942.460388853,2662195.7812018897,206788.85912664898,53694.637566335936,40517.708432894164,32735.603528101597,25528.528831446114,46116.03158194678,82161.50966527165
H2SO4,6161663.8477531085,23286591.388533633,51970581.15701951,104423804.69931115,130553470.1155969,156662127.58636403,195794634.83409315,117491731.41170275,78259678.00048968
