,0,1
OH,0.0016463568637447345,0.00017801335058510785
HSO3,1.2236096371385682e-05,1.323020367317411e-06
HO2,344509191.1414743,34871463.89532913
SO3,1.358348786897237e-05,0.0007492676980905443
H2SO4,211799857.20688188,21226354.59193369
