,OH,HSO3,HO2,SO3,H2SO4,H2O
0,6191.617788492285,9.16006863073955,17025106.81321134,1138019.4946345685,8164295.281428386,3494098331982871.0
1,12365.084854428569,18.29329035292926,34040224.359053664,51026.26720314063,18950295.94548441,6988196663965742.0
2,24657.778263269687,36.47950576637168,68040536.57205313,6847.312333148245,38266734.44070805,1.3976393327931484e+16
3,36878.501405259,54.55926910050328,102001026.29790793,3936.9681287860053,57485892.9352675,2.0964589991897224e+16
4,49027.67273625339,72.53319918937201,135921782.89576998,2811.653254597999,76670981.1229931,2.795278665586297e+16
5,61105.70800908037,90.40191087024377,169802895.42637265,2197.0526174704078,95831398.63560139,3.4940983319828704e+16
6,73113.02029322536,108.16601501270887,203644452.65336323,1805.5576876239961,114971093.62006654,4.192917998379445e+16
7,90992.28015444764,134.6173586830144,254332815.74249303,1425.3773394401578,143645683.2088112,5.2411474979743064e+16
8,120443.20810471955,178.18843633168242,338616893.4736501,1054.0051360264315,191349929.0387281,6.988196663965741e+16
9,108714.71006722131,160.8367319950119,304932675.7204036,1176.9622813802418,172280898.25043523,6.289376997569168e+16
10,85050.01999435773,125.82611854755012,237446543.04461357,1532.9963449377374,134091967.01814559,4.891737664776019e+16
11,67118.17881217835,99.29700085862413,186728612.91666096,1981.9475636586744,105403688.49790606,3.8435081651811576e+16
12,42962.0049994582,63.559424779934226,118966365.66456553,3276.0019896057556,67081910.01279108,2.4458688323880096e+16
13,18520.454101825326,27.399743403617318,51045363.87308728,11720.008433308609,28636076.39397709,1.0482294995948612e+16
