,H2O_1,H2O_2,UVC,Q1,Q2
1,0,0,1,11.0,12.0
2,50,0,1,11.0,12.05
3,100,0,1,11.0,12.0
4,200,0,1,11.0,12.0
5,300,0,1,11.0,12.0
6,400,0,1,11.0,12.0
7,600,0,1,11.0,12.0
8,800,0,1,11.0,12.0
9,1000,0,1,11.0,12.0
10,600,0,1,11.0,12.0
11,200,0,1,11.0,12.0
12,0,0,1,11.0,12.0
