,N2,N2O,NO
2,5000,100,879.75
3,5000,200,1899.375
4,5000,400,4168.625
7,10000,400,1473.875
8,4000,400,6127.375
9,5000,400,4262.125
10,5000,600,6007.5
11,5000,800,7874.75
12,5000,1000,9207.75
13,5000,1200,10573.75
14,5000,1600,12175.25
15,5000,2000,12994.5
16,5000,1800,12465.625
17,5000,1400,11334.0
18,5000,900,8605.125
19,5000,300,2778.375
