,N2flow2,H2Oflow2,N2flow1,H2Oflow1,SO2flow,O2flow1,UVC,H2Oconc2,H2Oconc1,Q1,Q2,O2flow2
0,12911.329262446014,0.0,11763.28927300624,0.0,5,50,0,83173103855837.67,83173103855837.67,9588.670737553986,22500.0,0
1,12911.329262446014,0.0,11763.28927300624,0.0,5,50,1,64959458897013.64,64959458897013.64,9588.670737553986,22500.0,0
2,12911.329262446014,0.0,11763.28927300624,100.0,5,50,1,1278752627307643.0,2900885923570838.0,9588.670737553986,22500.0,0
3,12911.329262446014,0.0,11763.28927300624,200.0,5,50,1,4023478931494507.5,9341438898482784.0,9588.670737553986,22500.0,0
4,12911.329262446014,0.0,11763.28927300624,400.0,5,50,1,1.9026082837746652e+16,4.454533703304137e+16,9588.670737553986,22500.0,0
5,12911.329262446014,0.0,11763.28927300624,600.0,5,50,1,3.496578667999277e+16,8.194815816088682e+16,9588.670737553986,22500.0,0
6,12911.329262446014,0.0,10693.899339096582,800.0,5,50,1,4.348225468573058e+16,1.0193221386306248e+17,9588.670737553986,22500.0,0
7,12911.329262446014,0.0,10693.899339096582,1000.0,5,50,1,4.948880024071104e+16,1.1602668834092277e+17,9588.670737553986,22500.0,0
8,12911.329262446014,0.0,10159.204372141752,1660.7239819008032,5,50,1,7.007182069088588e+16,1.6432514104669085e+17,9588.670737553986,22500.0,0
9,12911.329262446014,0.0,9624.509405186924,2214.2986425344043,5,50,1,1.04488772737261e+17,2.4508517987152803e+17,9588.670737553986,22500.0,0
10,12911.329262446014,0.0,9089.814438232095,2767.8733031680054,5,50,1,1.2725030471579184e+17,2.984955517086975e+17,9588.670737553986,22500.0,0
11,12911.329262446014,0.0,8555.119471277265,3321.4479638016064,5,50,1,1.5988568551666637e+17,3.7507509939759763e+17,9588.670737553986,22500.0,0
12,12911.329262446014,0.0,8020.424504322436,3875.022624435208,5,50,1,1.7936250262683603e+17,4.207778247255722e+17,9588.670737553986,22500.0,0
13,12911.329262446014,0.0,9624.509405186924,2214.2986425344043,5,50,1,8.06837456234769e+16,1.8922622666309053e+17,9588.670737553986,22500.0,0
