,N2flow,O2flow,H2Oflow,T,SO2flow,UVC,Q
2,20000.0,100.0,400.0,303.95,10.0,1.0,21800.0
3,20000.0,100.0,800.0,304.15,10.0,1.0,21800.0
4,20000.0,100.0,1200.0,304.25,10.0,1.0,21800.0
5,20000.0,100.0,1600.0,304.34999999999997,10.0,1.0,21800.0
6,20000.0,100.0,2000.0,304.45,10.0,1.0,21800.0
7,20000.0,100.0,1400.0,304.25,10.0,1.0,21800.0
8,20000.0,100.0,1000.0,304.15,10.0,1.0,21800.0
