,N2flow1,H2Oflow2,N2flow2,H2Oflow1,SO2flow,UVC,O2flow1,H2Oconc2,H2Oconc1,Q2,Q1,O2flow2
0,11763.28927300624,2087.8952720067505,10759.441052038346,400.0,5,1,50,1.4282046712250445e+17,2.7363824343480224e+17,22500.0,9652.663675954904,0
1,11763.28927300624,0.0,12911.329262446014,400.0,5,1,50,1.546466724662431e+16,3.618869843324263e+16,22500.0,9588.670737553986,0
2,11763.28927300624,4175.790544013501,8607.552841630677,400.0,5,1,50,2.5531020006084832e+17,4.134508319273386e+17,22500.0,9716.656614355823,0
3,11763.28927300624,6263.685816020252,6455.664631223007,400.0,5,1,50,2.9913843005601645e+17,4.194712820377404e+17,22500.0,9780.649552756742,0
4,11763.28927300624,8351.581088027002,4303.7764208153385,400.0,5,1,50,3.2236558888729894e+17,3.985941305504593e+17,22500.0,9844.64249115766,0
5,11763.28927300624,10439.476360033752,2151.888210407669,400.0,5,1,50,3.390187022476622e+17,3.748633761642285e+17,22500.0,9908.635429558579,0
6,11763.28927300624,12527.371632040504,0.0,400.0,5,1,50,3.508512369972764e+17,3.508512369972764e+17,22500.0,9972.628367959496,0
