,H2Oflow,SO2flow,O2flow,UVC,N2flow,Q1,Q2
0,0,5,50,1,12000.0,10600.0,10600.0
1,100,5,50,1,12000.0,10600.0,10600.0
2,200,5,50,1,12000.0,10600.0,10600.0
3,400,5,50,1,12000.0,10600.0,10600.0
4,800,5,50,1,12000.0,10600.0,10600.0
5,1000,5,50,1,12000.0,10600.0,10600.0
6,1200,5,50,1,12000.0,10600.0,10600.0
7,1500,5,50,1,12000.0,10600.0,10600.0
8,900,5,50,1,12000.0,10600.0,10600.0
9,600,5,50,1,12000.0,10600.0,10600.0
10,600,5,50,0,12000.0,10600.0,10600.0
