,N2flow,SO2flow,O2flow,H2Oflow,UVC,Q
1,25000,10,100,100,1,21800.0
2,25000,10,100,200,1,21800.0
3,25000,10,100,400,1,21800.0
4,25000,10,100,600,1,21800.0
5,25000,10,100,800,1,21800.0
6,25000,10,100,1000,1,21800.0
7,25000,10,100,1200,1,21800.0
8,25000,10,100,1500,1,21800.0
9,25000,10,100,2000,1,21800.0
10,25000,10,100,1800,1,21800.0
11,25000,10,100,1400,1,21800.0
12,25000,10,100,1100,1,21800.0
13,25000,10,100,700,1,21800.0
14,25000,10,100,300,1,21800.0
