,dry N2 af,N2O,NO
0,2000,0,0.20001999999999998
1,2000,2000,0.320032
2,2000,2000,4.68047
3,2000,1500,5.355535
4,2000,2000,4.78548
5,2000,1500,5.69057
6,2000,500,5.73057
7,2000,1000,6.50065
8,2000,1500,5.69557
9,4000,0,0.520052
10,4000,500,1.91019
11,4000,1000,2.83528
12,4000,1500,3.0403
13,4000,2000,2.9603
14,4000,0,0.7400739999999999
15,4000,1500,3.15032
