,N2flow2,H2Oflow2,N2flow1,H2Oflow1,SO2flow,O2flow,UVC,SO2signal,SO2signal_err,RH,H2Osignal,H2Osignal_err,H2Oconc2,H2Oconc1
0,12.0,0,11.5,0,5.0,50,0,0.3652195005654611,0.0007038659885846976,0.05034713127314198,387406219566838.44,20805839683484.66,387406219566838.44,387406219566838.44
1,12.0,0,11.5,0,5.0,50,1,0.3690346629685787,0.0010456386631604029,0.04946648413152113,380629901407681.0,17310733691429.045,380629901407681.0,380629901407681.0
2,12.0,0,11.5,0,2.5,50,1,0.34516558084371884,0.0010768915411692522,0.0694085446529897,534078133345307.75,25171839028108.367,534078133345307.75,534078133345307.75
3,12.0,0,11.5,100,2.5,50,1,0.27715334834526345,0.0013454272605506739,0.4154273533103511,3196590081319579.0,79241080779875.84,3196590081319579.0,6912732767005989.0
4,12.0,0,11.5,200,2.5,50,1,0.20471139076454078,0.0008674762813544002,0.9367905187552844,7208324768856166.0,133143838778008.12,7208324768856166.0,1.4914175713555094e+16
5,12.0,0,11.5,400,2.5,50,1,0.07651107304683398,0.00033610489180068234,2.3442769730911364,1.803851494210767e+16,387953084538168.7,1.803851494210767e+16,3.603551355323952e+16
6,12.0,0,11.5,600,2.5,50,1,0.018859469278954214,0.00018864370621968102,3.4881091796615507,2.683996399711329e+16,559721853438836.6,2.683996399711329e+16,5.24934711949579e+16
7,12.0,0,11.5,800,2.5,50,1,0.0037498295174999796,6.455418518817433e-05,3.9675827215889004,3.052937047496532e+16,1228760722582587.5,3.052937047496532e+16,5.864599315509635e+16
8,12.0,0,11.5,1000,2.5,50,1,0.0010320369052402227,2.084068719931843e-05,5.1240507209147195,3.942804820177042e+16,881944347459083.4,3.942804820177042e+16,7.436081464168386e+16
9,12.0,0,13.0,1500,2.5,50,1,0.0005105873952577654,2.931175067864346e-05,6.996048103170387,5.383251198271996e+16,732261802369824.4,5.383251198271996e+16,1.1054510660789072e+17
10,12.0,0,13.5,2000,2.5,50,1,0.0005792247328912645,1.6902186357156735e-05,9.849187340225802,7.57865708888546e+16,1329279252883290.8,7.57865708888546e+16,1.5545113618862064e+17
13,12.0,0,11.5,300,2.5,50,1,0.1582171174382157,0.0014847299286651905,1.4702461140545453,1.1313107112074006e+16,286712461038370.9,1.1313107112074006e+16,2.2959272081654492e+16
